,Year,Team,offense_completion_percentage,offense_total_yards_gained_pass,offense_total_yards_gained_run,offense_ave_yards_gained_pass,offense_ave_yards_gained_run,offense_total_air_yards,offense_ave_air_yards,offense_total_yac,offense_ave_yac,offense_n_plays_pass,offense_n_plays_run,offense_n_interceptions,offense_n_fumbles_lost_pass,offense_n_fumbles_lost_run,offense_total_epa_pass,offense_total_epa_run,offense_ave_epa_pass,offense_ave_epa_run,offense_total_wpa_pass,offense_total_wpa_run,offense_ave_wpa_pass,offense_ave_wpa_run,offense_success_rate_pass,offense_success_rate_run,defense_completion_percentage,defense_total_yards_gained_pass,defense_total_yards_gained_run,defense_ave_yards_gained_pass,defense_ave_yards_gained_run,defense_total_air_yards,defense_ave_air_yards,defense_total_yac,defense_ave_yac,defense_n_plays_pass,defense_n_plays_run,defense_n_interceptions,defense_n_fumbles_lost_pass,defense_n_fumbles_lost_run,defense_total_epa_pass,defense_total_epa_run,defense_ave_epa_pass,defense_ave_epa_run,defense_total_wpa_pass,defense_total_wpa_run,defense_ave_wpa_pass,defense_ave_wpa_run,defense_success_rate_pass,defense_success_rate_run,points_scored,points_allowed,wins,losses,ties,score_differential
0,2013,Arizona Cardinals,0.5883306320907618,4002,1562,6.486223662884929,3.875930521091811,5284,9.221640488656195,1756,4.83746556473829,617,403,22,5,4,1.4972814260234255,-38.47540983763152,0.0024267121977696,-0.0954724809866786,-0.2483411510719946,-0.3995222431027863,-0.0004024978137309655,-0.0009913703302798654,0.4489465153970826,0.3424317617866005,0.5485799701046338,3730,1363,5.575485799701043,3.765193370165745,4852,7.813204508856689,1934,5.269754768392368,669,362,20,6,2,-49.65879907096992,-55.80230882159327,-0.0742283992092228,-0.1541500243690421,-0.6191639647498157,-1.3315848152806136,-0.000925506673766526,-0.0036784110919353,0.4289985052316889,0.361878453038674,379,324,10,6,0,55
1,2013,Atlanta Falcons,0.6324786324786327,4253,1263,6.058404558404556,4.022292993630575,4482,6.821917808219177,2132,4.812641083521448,702,314,17,8,1,18.054189896628515,-22.493731840474123,0.0257182192259671,-0.0716360886639303,-0.8924083774817855,-1.1582132595701993,-0.0012712370049597,-0.0036885772597777,0.4615384615384614,0.3885350318471337,0.6222627737226277,3897,2184,7.11131386861314,4.907865168539327,4554,8.859922178988327,1894,5.554252199413488,548,445,10,8,2,81.3828852963161,14.01399211020378,0.1485089147742992,0.0314921171015813,1.395537788250071,0.5504740231972117,0.002546601803376,0.0012370202768476,0.478102189781022,0.4067415730337079,353,443,4,12,0,-90
2,2013,Baltimore Ravens,0.5434131736526946,3594,1337,5.380239520958087,3.2139423076923084,5781,9.369529983792544,1751,4.837016574585635,668,416,23,3,3,-44.83898765211312,-81.56707580610733,-0.0671242330121458,-0.1960747014569887,-0.822949674864665,-1.8195759758717425,-0.0012319605911147,-0.0043739807112301,0.3862275449101797,0.3076923076923077,0.5295109612141653,3681,1711,6.207419898819561,4.016431924882629,5096,9.265454545454546,1748,5.56687898089172,593,426,16,2,3,11.49421727950108,-40.70646433391546,0.019383165732717,-0.0955550805960457,0.4615689624716255,-0.8564454062021822,0.0007783624999521534,-0.0020104352258267,0.4114671163575042,0.3732394366197184,320,352,8,8,0,-32
3,2013,Buffalo Bills,0.5236427320490368,3107,2338,5.441330998248686,4.428030303030303,4506,8.648752399232245,1508,5.043478260869566,571,528,15,8,3,-85.69998502446609,-8.890161151942777,-0.150087539447401,-0.016837426424134,-1.9626144157278944,0.2354994825406048,-0.003437153092343,0.0004460217472359965,0.3975481611208405,0.3844696969696969,0.5008077544426496,3273,2077,5.287560581583202,4.55482456140351,5234,9.329768270944742,1633,5.267741935483873,619,456,23,3,4,-66.76053518023478,-29.73477929672756,-0.1078522377709767,-0.065207849334929,-2.1695764869584604,-0.2705994688105998,-0.0035049700920169,-0.0005934198877425513,0.3780290791599355,0.368421052631579,339,388,6,10,0,-49
4,2013,Carolina Panthers,0.5692007797270954,3043,2043,5.931773879142302,4.365384615384617,4238,9.017021276595743,1613,5.5239726027397245,513,468,13,2,1,29.420839031285887,17.3401394677886,0.0573505634138124,0.0370515800593774,0.4466667457255528,1.0645269486657334,0.0008706954107710654,0.0022746302321917,0.4405458089668615,0.3974358974358972,0.6009615384615385,3431,1402,5.498397435897438,4.1235294117647046,4506,8.017793594306049,1670,4.453333333333333,624,340,20,7,2,-50.29125037324637,-44.45915984991368,-0.0805949525212284,-0.1307622348526872,-1.38495520486513,-1.3655679437013597,-0.0022194794949761,-0.0040163763050039,0.4391025641025642,0.3764705882352941,366,241,12,4,0,125
5,2013,Chicago Bears,0.6124794745484401,4289,1839,7.042692939244665,4.655696202531646,5030,8.747826086956518,1763,4.726541554959788,609,395,13,7,2,83.41576177735578,-0.3925336775767079,0.1369716942156907,-0.000993756145763669,2.6787454573105705,0.0552348813510672,0.0043985968100337,0.0001398351426609372,0.4909688013136288,0.3949367088607595,0.5833333333333333,3732,2593,6.911111111111116,5.493644067796607,4314,8.542574257425743,1498,4.785942492012779,540,472,19,5,3,22.660227152785087,61.02222660900858,0.0419633836162685,0.1292843784089165,0.2644225324859977,2.2887012488073326,0.0004896713564555578,0.0048489433237443,0.4759259259259258,0.4639830508474581,445,478,8,8,0,-33
6,2013,Cincinnati Bengals,0.5909090909090909,4136,1770,6.714285714285714,3.839479392624729,5023,8.571672354948806,2080,5.7142857142857135,616,461,20,7,3,52.26130733100905,-27.114713480561583,0.0848397846282613,-0.0588171659014351,0.5916081387267608,-0.4759754377886283,0.0009604028226083822,-0.0010324846806694,0.4610389610389611,0.3904555314533622,0.5535168195718654,3344,1550,5.1131498470948,4.078947368421053,4870,7.970540098199672,1727,4.770718232044199,654,380,20,6,4,-71.77240928754092,-40.698220721082734,-0.1097437450879835,-0.1071005808449545,-1.4648630866286825,-1.331995628125382,-0.0022398518144169,-0.0035052516529615,0.4220183486238532,0.3421052631578947,430,305,11,5,0,125
7,2013,Cleveland Browns,0.5198902606310014,4049,1387,5.554183813443071,4.043731778425657,5651,8.334808259587021,1975,5.224867724867727,729,343,20,5,2,-69.613875810266,-11.642394615621985,-0.0954922850620933,-0.033942841444962,-1.4168605224078803,-0.9032789969901932,-0.0019435672461013,-0.0026334664635282,0.3854595336076818,0.3994169096209912,0.5627906976744187,3542,1798,5.491472868217056,4.077097505668935,5074,8.428571428571432,1776,4.906077348066299,645,441,14,4,2,11.392518789402148,-10.480309832290075,0.0176628198285307,-0.0237648749031518,-0.4884850220770957,0.1627801822456224,-0.0007573411194993903,0.0003691160595138752,0.4372093023255815,0.3945578231292519,308,406,4,12,0,-98
8,2013,Dallas Cowboys,0.6019261637239164,3956,1513,6.349919743178169,4.626911314984709,4673,7.988034188034184,2007,5.351999999999999,623,327,12,5,1,41.97407002297829,10.71505988434663,0.0673741091861609,0.0327677672304179,0.1018450919294964,0.4292566573297994,0.00016347526794461588,0.0013127114903051,0.4703049759229534,0.4617737003058103,0.614329268292683,4591,2076,6.998475609756096,4.884705882352941,4993,8.05322580645161,2260,5.607940446650123,656,425,15,7,4,55.51000549782702,16.42066730775488,0.0846189108198585,0.0386368642535412,0.4680140585386865,0.4124813777755534,0.0007134360648455668,0.0009705444182954224,0.4878048780487803,0.451764705882353,439,432,8,8,0,7
9,2013,Denver Broncos,0.6633093525179855,5444,1897,7.833093525179852,4.340961098398171,5263,7.80860534124629,2652,5.752711496746206,695,437,10,5,6,248.44483283503445,-8.834891124473124,0.3574745796187551,-0.0202171421612656,4.887416898835958,0.0877366253827808,0.0070322545306992,0.0002007703098004122,0.548201438848921,0.425629290617849,0.5450381679389315,4072,1631,6.216793893129776,3.920673076923075,5672,9.26797385620915,2001,5.605042016806724,655,416,17,6,4,31.895367122933628,-58.27203952225455,0.0486952169815781,-0.1400770180823427,-0.0530126267069068,-1.4854594625930364,-8.093530794946772e-05,-0.0035708160158486,0.4274809160305344,0.3701923076923077,606,399,13,3,0,207
